link_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
12_18,25.84,23.75,31.01,23.36,24.1,17.11,19.13,17.64,15.85,10.4,8.0,12.06,8.3,9.32,11.93,16.83,19.72,18.31,21.9,23.14,22.75,26.2,23.77,25.8
13_14,18.03,12.96,17.9,11.14,12.79,9.58,10.37,11.55,9.71,9.84,8.0,9.5,8.0,8.0,8.0,8.0,11.15,12.76,17.86,12.05,15.0,20.05,14.86,11.23
13_19,28.04,19.78,23.78,26.07,21.81,23.26,18.55,11.06,12.3,10.18,12.24,10.42,12.07,11.22,12.67,12.69,20.07,23.77,23.12,30.91,28.76,33.44,27.23,28.03
14_15,19.63,14.72,12.08,15.37,16.59,14.04,8.0,8.0,11.75,10.23,8.0,10.04,8.0,8.7,8.99,13.13,11.21,14.53,8.0,11.29,14.93,12.48,15.47,19.69
14_20,15.02,14.05,16.31,15.3,13.85,8.0,8.0,9.5,8.0,8.81,10.19,10.19,8.0,8.0,8.85,9.3,13.48,12.33,13.04,13.6,11.24,15.34,15.1,14.72
15_16,19.72,14.97,18.48,11.7,13.52,8.0,15.63,10.6,9.09,8.0,8.0,8.86,12.59,8.0,10.78,16.23,8.28,9.94,15.61,16.34,16.34,23.49,14.31,13.07
15_21,17.65,14.43,20.36,17.11,16.49,14.98,10.21,9.58,9.23,10.2,8.0,8.0,8.0,8.0,8.0,9.69,8.1,9.98,15.76,18.38,14.83,17.95,16.01,23.14
16_17,20.43,14.43,19.45,8.32,14.83,8.0,12.76,11.41,9.16,8.0,8.0,10.68,8.0,8.0,11.37,8.03,11.16,17.31,16.01,16.23,12.98,13.66,14.57,17.84
16_22,9.69,14.66,10.54,16.17,14.91,12.41,12.29,9.09,8.0,8.0,8.0,9.74,11.41,12.34,8.72,8.0,11.86,13.99,14.01,19.93,13.98,19.66,21.93,18.37
17_18,16.15,17.12,16.5,17.36,16.76,12.2,9.81,12.12,9.44,8.0,8.87,10.58,8.0,12.06,12.08,15.51,14.12,12.39,12.98,19.09,21.01,20.43,22.83,14.42
17_23,19.99,14.19,13.4,16.5,8.0,8.0,10.33,9.29,8.0,8.0,8.0,8.0,8.0,8.0,8.79,12.48,11.1,18.14,15.07,15.97,15.18,16.13,15.18,12.21
18_24,46.7,44.94,42.82,38.2,34.33,33.25,27.63,23.42,22.56,18.25,21.51,14.5,15.79,23.01,23.78,29.16,32.61,36.21,39.56,40.91,45.03,45.45,48.15,48.79
19_20,47.43,45.63,40.26,40.48,34.33,31.84,26.01,20.96,17.85,19.94,16.75,17.98,18.61,19.06,21.99,26.28,32.95,34.72,37.43,42.75,42.86,46.19,47.54,49.61
19_25,49.88,47.91,46.34,38.95,36.56,31.98,28.93,24.19,23.25,21.36,14.85,16.44,20.72,21.23,24.15,32.08,30.24,36.6,42.29,44.44,46.97,45.06,49.1,48.28
20_21,48.64,46.31,45.92,42.37,39.22,34.54,29.2,27.15,21.37,18.51,20.42,20.98,20.99,23.49,24.04,30.41,32.27,38.48,43.7,44.04,46.06,49.14,49.71,52.98
20_26,48.85,48.05,45.63,43.03,37.58,34.03,26.98,24.42,21.9,19.96,20.52,18.22,20.15,18.56,24.97,27.33,31.41,37.75,36.83,44.52,46.57,51.62,49.32,51.52
21_22,46.46,46.81,43.66,44.91,36.87,34.88,27.85,23.83,19.53,17.6,20.75,19.04,21.1,20.12,23.64,31.38,32.12,38.36,39.94,44.04,47.65,50.55,46.04,46.74
21_27,49.84,49.19,45.71,40.11,39.68,31.85,27.99,22.98,23.37,19.83,16.65,19.31,20.71,22.18,21.89,28.34,34.3,34.87,41.58,44.24,47.13,49.6,47.91,49.96
22_23,46.23,44.21,42.48,39.79,35.69,32.25,28.68,24.83,20.1,16.02,15.87,18.32,18.56,21.54,23.51,28.28,31.78,34.68,39.25,43.05,42.96,45.51,47.21,44.86
22_28,52.0,46.48,45.16,46.46,37.21,34.89,29.46,27.34,22.4,21.87,21.88,17.41,20.19,22.19,26.14,31.08,30.33,37.44,39.76,44.26,48.06,47.94,52.32,51.09
23_24,47.98,43.72,44.59,36.64,36.8,32.58,31.34,24.27,21.37,19.05,17.72,17.21,18.36,21.7,23.83,28.83,31.87,36.19,40.81,43.31,44.47,47.58,49.76,52.06
23_29,45.96,45.4,42.96,39.46,37.71,32.19,26.75,26.03,18.7,19.96,19.22,15.21,18.35,21.61,24.75,29.49,34.54,35.73,42.02,43.84,45.55,46.33,46.62,46.93
24_30,49.79,50.9,46.1,42.61,38.47,33.35,29.88,23.28,21.51,19.09,19.65,22.48,23.11,21.03,25.96,31.11,36.1,38.19,42.23,44.8,47.77,47.68,47.26,50.22
25_26,47.76,43.86,43.29,43.32,36.4,35.1,31.01,25.18,19.45,17.56,16.59,16.99,16.19,24.24,25.34,25.13,32.95,35.7,41.72,42.81,47.18,47.5,46.38,50.17
25_31,51.74,50.26,43.43,40.49,36.71,33.06,28.59,21.55,23.36,18.37,20.12,17.35,19.54,22.75,25.13,30.92,32.52,37.39,41.58,42.98,43.94,49.2,48.1,51.51
26_27,48.12,46.74,48.35,40.29,37.01,34.23,28.63,25.0,21.59,20.96,18.8,18.54,18.87,25.21,24.54,28.93,36.0,39.11,42.39,46.18,43.38,47.65,50.45,49.85
26_32,47.31,49.38,42.77,40.02,34.8,32.01,27.52,21.13,20.01,21.11,16.62,19.38,18.35,20.79,23.68,29.44,28.96,35.05,39.88,42.93,45.46,46.91,47.57,51.9
27_28,46.35,48.43,44.74,44.03,37.77,32.81,29.01,24.29,22.87,20.15,18.51,21.93,17.1,22.46,23.94,29.53,31.53,37.11,39.96,46.82,45.38,47.58,45.83,48.78
27_33,46.82,45.93,44.03,39.92,39.06,35.75,25.92,23.08,18.93,18.32,18.31,17.94,17.03,21.08,25.4,24.14,32.65,34.18,40.36,44.13,44.37,46.73,46.13,44.49
28_29,51.06,44.32,45.31,40.82,34.93,32.0,27.69,26.06,19.4,17.38,17.9,19.22,20.48,21.58,20.78,26.71,32.2,36.36,40.47,43.2,46.86,45.98,44.95,50.01
28_34,47.21,44.39,39.53,40.39,34.24,33.77,27.48,20.6,18.33,16.94,18.97,16.93,18.78,21.8,21.53,26.54,30.15,37.19,39.73,43.38,44.77,44.27,48.05,46.67
29_30,47.05,43.83,45.29,40.96,36.01,34.01,28.76,23.83,23.19,21.19,18.17,15.66,20.51,19.24,21.6,24.56,30.41,39.74,39.69,40.02,47.48,47.56,44.44,50.92
29_35,45.15,47.7,46.02,41.23,37.79,32.31,28.26,25.19,21.23,17.82,16.22,15.55,18.17,21.15,21.48,26.85,33.15,35.23,38.87,43.42,44.79,46.36,49.51,49.15
30_36,48.9,47.61,45.93,47.86,37.98,32.98,29.94,25.26,22.95,20.91,21.39,18.23,22.11,20.07,24.9,30.47,35.96,39.16,41.87,45.62,48.08,48.68,49.71,50.09
31_32,50.71,47.37,46.16,41.15,37.21,35.07,27.67,24.59,20.04,18.62,20.7,20.52,20.81,21.5,26.17,28.86,31.68,36.93,39.93,42.12,43.71,48.43,49.03,48.1
32_33,44.85,43.39,43.74,36.91,33.21,29.92,26.82,19.23,19.28,15.32,15.06,17.7,16.02,17.95,21.92,27.69,29.3,34.06,38.91,41.94,44.74,46.55,47.94,46.81
33_34,49.1,43.46,43.29,42.55,39.45,32.79,26.15,25.27,22.18,19.04,19.22,17.69,21.11,21.19,25.21,30.24,35.98,36.39,42.89,43.11,45.3,47.7,47.86,46.09
34_35,47.23,45.22,43.46,39.03,36.5,29.3,26.71,22.61,19.68,16.79,15.64,19.45,18.3,20.77,23.49,28.77,29.44,35.68,37.63,43.05,44.39,45.83,46.82,45.82
35_36,49.9,48.91,45.63,41.76,38.08,34.71,27.4,25.6,20.97,20.55,20.54,20.09,20.19,21.13,23.95,28.31,31.76,37.21,40.39,45.35,44.63,46.29,49.9,48.92
