link_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
100116_100117,26.58,31.69,26.21,31.76,28.91,24.64,22.78,17.68,12.65,11.02,14.33,16.39,18.68,20.45,17.25,15.7,23.64,27.5,28.89,36.82,30.57,37.88,40.87,37.06
100116_100126,38.07,38.52,37.12,37.1,35.03,28.33,23.84,25.17,21.02,18.04,19.33,21.32,16.93,24.08,25.13,30.49,30.24,29.59,31.64,39.8,42.72,42.72,45.87,36.4
100117_100118,38.25,30.79,29.19,31.79,19.08,17.73,20.15,17.56,13.1,10.0,10.0,10.7,10.0,10.0,16.98,22.65,22.41,31.99,29.77,31.85,31.61,33.4,32.63,29.51
100117_100127,45.67,43.99,41.83,36.67,32.85,32.74,26.91,22.64,22.49,17.41,22.09,12.74,14.13,23.08,23.11,28.95,32.23,35.69,38.82,39.62,44.45,44.35,47.61,48.12
100118_100119,33.73,32.69,23.32,28.59,20.58,21.09,15.42,10.0,10.0,15.49,10.0,12.51,12.38,10.28,12.36,16.05,25.26,23.06,23.04,30.71,27.82,32.41,33.99,37.23
100118_100128,40.59,39.14,38.65,26.17,26.92,22.56,23.36,18.64,21.19,19.95,10.0,10.06,18.46,16.49,18.54,30.72,20.1,28.61,35.55,35.8,38.54,30.93,38.76,35.27
100119_100120,38.45,36.18,38.44,34.9,33.88,29.29,24.74,26.31,17.56,14.06,20.1,21.4,19.83,22.52,19.04,27.58,25.59,33.74,39.59,35.64,37.17,41.2,40.94,46.98
100119_100129,38.54,39.84,37.38,36.05,29.67,27.73,19.18,19.55,18.41,17.06,19.95,14.58,17.51,10.63,20.82,20.01,23.18,31.65,23.18,36.35,37.98,46.59,39.65,43.2
100120_100130,46.85,47.98,44.45,47.13,37.74,36.42,28.71,24.68,19.94,18.04,22.58,20.29,22.7,20.74,24.43,33.42,33.07,40.06,40.83,45.3,49.45,52.64,46.29,46.9
100121_100122,40.86,42.51,37.55,29.24,34.58,22.63,21.53,16.17,21.85,16.76,10.92,17.13,18.81,19.08,13.64,22.35,29.94,24.93,34.25,35.7,39.28,41.87,36.36,39.55
100121_100131,44.36,42.35,40.7,38.12,33.98,30.73,27.63,23.83,18.53,13.75,13.89,17.16,17.15,20.44,22.07,27.11,30.44,32.96,37.73,41.8,41.01,43.74,45.67,42.2
100122_100123,46.96,37.26,37.32,45.11,29.88,30.79,26.04,27.42,20.66,22.58,24.18,13.75,18.66,20.15,24.63,29.82,21.73,31.99,31.06,36.82,42.53,39.06,47.71,43.25
100122_100132,35.87,29.1,34.3,20.49,27.19,23.68,28.7,18.53,16.52,14.28,12.75,11.56,12.67,17.29,17.51,22.86,23.6,27.34,31.8,32.88,32.42,36.51,40.01,43.8
100123_100124,31.19,33.06,30.54,27.1,29.36,22.81,18.05,22.69,10.34,16.44,16.29,10.0,12.7,17.13,19.71,24.44,29.87,26.31,34.67,34.17,34.99,33.64,32.73,31.87
100123_100133,41.21,46.97,38.94,35.54,32.22,26.6,26.42,17.36,17.98,15.49,18.38,25.0,24.89,16.87,23.62,29.31,34.61,33.15,36.25,37.49,41.25,37.88,35.31,40.63
100124_100125,35.41,29.49,31.33,36.15,26.33,29.64,28.01,20.74,12.12,10.87,10.2,11.13,10.0,23.29,21.1,14.29,26.21,26.28,33.99,31.78,38.83,36.39,32.21,39.47
100124_100134,54.28,52.98,44.54,41.62,37.91,34.37,30.08,22.03,25.45,19.45,22.13,18.43,21.02,24.63,26.8,33.19,33.99,39.15,43.41,44.27,44.89,51.24,49.43,53.65
100125_100126,37.17,37.12,44.05,29.98,28.67,28.5,23.36,21.23,18.01,19.7,16.25,15.66,14.84,26.46,20.16,24.06,34.23,35.15,36.47,40.56,30.86,37.66,42.61,39.62
100125_100135,33.87,41.86,29.62,27.96,22.1,21.92,19.37,10.79,12.93,18.67,10.0,16.2,12.23,14.75,16.74,23.86,16.38,24.28,29.2,31.58,34.31,34.53,34.47,43.0
100126_100127,32.6,40.61,35.17,38.27,29.99,24.74,23.78,19.13,20.55,17.36,15.14,23.12,10.26,19.59,18.3,25.02,23.34,30.03,30.35,41.59,35.07,37.04,31.38,36.67
100126_100136,33.06,34.15,32.88,28.04,32.35,30.96,15.95,15.66,10.73,12.46,14.03,13.17,10.0,15.74,21.06,11.8,25.31,22.54,30.63,34.7,32.08,34.43,31.44,26.02
100127_100128,43.07,30.51,35.99,30.25,22.86,22.34,20.21,22.74,11.94,10.39,13.2,16.27,17.63,17.04,10.43,17.93,24.4,27.76,31.02,32.65,38.03,32.79,28.81,39.04
100127_100137,45.92,42.83,37.01,39.16,32.3,33.0,26.28,18.45,16.42,15.23,18.27,15.54,17.68,21.04,19.68,25.03,28.51,36.56,38.61,42.49,43.67,42.34,47.05,44.86
100128_100129,33.76,29.42,35.99,30.63,25.42,27.09,22.75,17.58,20.84,19.34,13.89,10.0,17.75,11.64,12.37,12.96,20.27,35.71,29.25,25.28,39.53,36.55,27.67,41.21
100128_100138,28.86,37.98,37.23,30.79,29.1,22.64,21.12,20.28,15.78,11.01,10.0,10.0,11.81,15.59,11.63,17.82,26.19,24.71,26.87,32.74,32.77,33.26,39.03,36.6
100129_100130,39.46,39.62,38.86,48.11,31.4,26.07,26.88,22.31,21.66,20.07,22.78,15.4,22.86,14.95,21.47,28.13,34.61,35.73,35.73,39.73,42.3,40.53,41.35,40.65
100129_100139,43.02,38.38,38.73,31.79,28.93,30.27,20.92,20.06,14.2,14.04,20.5,20.07,19.15,17.6,23.74,23.7,23.94,29.85,30.52,30.88,31.43,39.28,39.09,35.35
100130_100140,40.75,39.48,40.6,32.5,28.9,25.85,23.37,14.6,15.67,11.05,11.03,14.55,11.99,13.89,18.18,24.54,25.35,30.37,35.51,38.54,41.61,43.36,44.88,43.03
100131_100132,49.94,43.09,43.54,43.55,40.75,33.21,26.02,26.17,23.06,19.53,20.11,18.07,22.29,21.73,26.1,31.47,37.79,36.99,44.33,43.62,45.88,48.41,48.29,45.6
100131_100141,45.36,43.34,41.66,36.76,34.72,26.45,24.66,20.53,17.62,14.44,13.24,18.31,16.45,19.07,21.7,27.41,26.97,33.96,35.23,41.45,42.57,43.83,44.81,43.15
100132_100133,52.58,51.92,48.22,44.05,40.49,37.33,29.24,28.17,23.01,23.12,23.43,22.83,22.63,23.22,25.98,30.46,33.73,39.66,42.56,48.18,46.56,48.1,52.58,50.94
100132_100142,41.25,34.68,35.43,29.39,31.18,30.75,25.63,24.71,19.59,17.15,13.26,13.93,18.27,19.22,17.79,25.78,23.47,30.75,37.04,34.63,35.69,37.47,41.31,42.05
100133_100134,46.47,46.11,47.14,39.74,40.18,31.64,27.69,25.13,22.59,19.63,17.31,19.45,19.08,22.6,25.6,30.44,35.59,35.66,44.32,46.53,46.6,47.54,50.71,49.61
100133_100143,37.69,31.06,43.55,33.6,33.73,34.29,28.2,25.59,24.17,17.08,23.72,18.33,17.96,22.97,25.12,25.14,26.65,30.97,31.91,33.03,33.35,44.82,42.25,37.87
100134_100135,52.11,47.31,45.72,43.81,39.48,33.32,27.25,26.97,20.12,21.15,18.71,19.04,19.52,22.38,24.34,27.75,34.07,38.63,41.83,44.9,44.81,46.93,51.14,49.85
100134_100144,41.91,36.95,37.24,33.69,31.37,29.74,20.04,18.27,14.1,13.29,10.0,12.01,12.45,15.79,18.01,22.1,25.98,31.57,35.57,36.71,39.81,42.85,41.88,44.0
100135_100136,45.51,43.99,45.48,42.61,34.33,34.09,25.66,21.92,22.77,14.9,15.54,17.73,18.85,19.01,22.45,24.66,31.55,31.68,37.6,44.48,44.79,46.58,50.65,45.45
100135_100145,26.75,27.35,26.89,19.85,22.21,13.3,13.72,11.44,10.0,10.0,10.0,10.0,10.0,10.0,12.17,18.01,24.04,26.56,24.12,21.99,28.68,30.9,28.82,28.16
100136_100137,47.22,42.53,38.82,36.17,32.94,30.39,24.18,24.52,18.12,19.15,15.0,17.36,16.27,22.13,20.82,26.69,27.31,32.75,43.42,41.85,46.17,43.27,47.14,43.6
100136_100146,32.01,45.61,34.17,30.23,34.8,29.91,25.22,23.27,12.63,14.93,18.03,10.0,17.1,10.0,16.43,24.5,28.13,29.23,31.64,36.43,32.84,40.73,39.82,40.09
100137_100138,48.54,46.65,43.63,41.48,36.41,32.94,30.43,23.69,19.68,18.71,16.33,18.1,17.98,21.97,27.86,29.63,29.88,34.44,41.07,42.4,44.17,45.85,46.07,48.62
100137_100147,38.28,39.13,39.21,36.57,32.8,27.54,21.1,19.4,15.2,10.0,11.68,11.46,10.99,13.73,17.64,22.45,27.91,29.06,34.12,37.49,41.73,37.87,41.73,44.23
100138_100139,46.37,47.44,41.94,36.78,31.42,31.11,24.26,21.83,17.98,13.88,13.37,16.12,18.39,17.27,20.38,24.63,30.55,31.23,37.28,41.32,42.2,44.36,48.69,47.12
100138_100148,37.46,34.87,30.64,31.04,26.45,25.1,14.52,16.76,10.09,10.0,14.5,16.08,10.0,13.01,18.06,26.95,26.7,29.37,29.96,31.69,33.34,35.61,33.9,34.88
100139_100140,51.19,48.25,46.89,45.96,39.42,33.3,25.69,22.35,23.56,22.09,21.41,21.27,21.42,24.08,25.92,29.86,31.84,40.75,44.24,41.67,45.53,50.07,48.1,49.82
100139_100149,34.04,34.97,29.8,29.77,30.91,22.39,23.39,20.26,14.06,14.18,19.91,11.68,14.38,18.58,20.58,25.41,25.47,28.83,33.04,32.95,37.17,33.01,36.31,38.06
100140_100150,40.11,43.09,38.03,31.5,30.6,30.8,23.89,19.79,15.4,15.66,15.21,13.03,14.32,14.42,15.15,23.52,25.89,29.7,34.85,34.66,38.66,39.25,44.05,45.46
100141_100142,34.77,32.34,34.39,28.79,23.37,21.52,17.59,12.48,14.92,12.5,17.34,14.24,15.44,17.92,19.65,24.33,22.43,25.79,26.06,28.58,29.26,35.37,42.5,29.96
100141_100151,51.69,47.06,49.92,40.25,37.22,32.55,26.9,23.74,23.94,20.21,18.24,17.93,17.92,16.6,23.12,28.3,32.45,35.36,43.84,43.75,48.94,51.74,48.21,54.46
100142_100143,37.59,35.62,45.71,39.3,34.1,29.61,26.45,24.24,21.2,21.45,22.98,17.8,12.52,16.73,25.69,28.88,27.47,29.97,38.79,38.8,32.48,39.03,39.29,45.0
100142_100152,32.58,22.5,28.59,23.84,24.18,16.68,10.51,10.0,16.38,10.0,10.0,10.0,10.0,14.46,13.13,14.91,15.83,20.43,30.91,26.6,20.12,33.95,30.23,31.5
100143_100144,31.59,31.71,29.76,29.63,22.7,23.91,17.56,11.43,11.05,10.0,10.0,12.9,10.36,15.21,16.66,19.61,21.18,25.11,26.45,31.6,31.93,29.89,30.24,31.82
100143_100153,35.92,34.99,34.14,32.1,26.89,22.23,15.45,17.04,16.96,15.58,10.79,11.71,10.0,10.84,23.52,14.75,22.83,25.59,30.35,35.66,38.89,34.18,26.98,29.5
100144_100145,33.36,35.83,35.28,27.05,29.13,23.33,20.67,14.76,16.23,12.88,12.81,14.4,11.8,13.91,11.51,14.2,23.43,34.63,30.46,32.5,26.55,35.42,38.14,30.65
100144_100154,45.23,47.57,43.31,41.72,36.42,33.67,29.27,22.81,21.26,17.9,21.23,16.66,17.22,17.84,26.87,26.52,31.5,36.07,36.9,44.01,42.69,46.26,48.15,48.19
100145_100146,33.68,32.97,29.13,23.86,27.11,21.32,16.51,12.82,12.49,10.0,10.0,10.0,10.0,11.2,12.83,19.75,32.28,24.14,30.97,27.73,34.92,33.47,34.46,34.13
100145_100155,41.03,37.92,38.47,30.82,25.33,29.02,24.16,23.73,15.88,10.0,15.95,15.47,13.62,19.79,19.39,20.76,25.21,22.95,32.12,34.96,32.08,44.54,39.8,41.53
100146_100147,38.36,41.09,35.94,36.63,33.77,26.96,26.86,30.43,19.67,15.99,24.22,21.75,23.13,22.73,23.3,26.26,27.49,31.36,34.01,39.73,35.82,42.49,42.35,35.15
100146_100156,33.66,29.85,22.29,34.51,28.54,23.86,15.85,14.56,13.5,10.47,11.52,15.98,10.0,10.0,10.0,19.77,24.85,23.19,28.58,29.8,34.2,34.75,35.72,37.91
100147_100148,37.35,41.06,32.36,32.59,25.6,28.83,24.94,20.58,13.32,15.66,16.96,14.65,10.0,18.07,19.48,17.82,25.51,23.37,33.04,32.18,30.51,31.63,38.25,37.76
100147_100157,50.98,46.23,42.02,39.89,35.6,29.04,24.69,23.31,17.33,18.74,15.34,18.84,20.08,17.44,23.58,28.56,26.66,32.85,41.98,42.06,42.62,47.2,46.17,47.61
100148_100149,42.88,29.21,33.44,25.27,30.05,20.59,20.19,20.91,14.91,10.0,10.0,18.67,16.12,14.27,10.01,26.56,26.03,28.77,30.72,37.86,40.42,38.03,34.27,39.9
100148_100158,40.38,34.91,32.56,34.2,28.31,31.38,23.56,20.43,17.48,12.38,13.81,11.03,24.4,24.32,20.59,24.77,24.33,30.74,30.91,35.61,34.45,40.9,39.99,43.79
100149_100150,44.57,38.82,38.87,33.28,29.5,31.03,19.78,24.47,13.22,20.95,17.97,16.24,15.83,22.53,24.87,21.61,23.66,32.46,29.4,26.74,33.44,35.63,42.77,43.0
100149_100159,39.0,39.5,42.46,33.44,33.69,31.82,21.96,22.89,26.76,22.52,17.3,18.33,23.37,20.14,23.74,25.86,28.19,29.93,38.07,39.46,38.23,42.88,42.82,43.0
100150_100160,49.76,46.92,50.1,44.69,38.71,36.42,25.26,25.52,22.09,19.73,18.32,21.21,21.57,23.66,23.39,28.77,34.75,35.65,44.48,42.01,48.37,48.8,48.95,53.65
100151_100152,35.96,34.75,32.29,27.92,26.46,26.36,22.39,17.7,20.59,18.53,13.97,13.27,15.2,16.65,18.72,25.03,23.62,36.78,28.65,24.41,32.4,29.98,31.14,36.3
100151_100161,46.36,41.28,38.1,38.24,34.29,28.16,27.36,21.04,21.98,13.75,13.92,10.66,13.3,19.04,21.54,26.24,32.15,30.83,34.31,39.86,43.6,40.66,45.77,52.69
100152_100153,43.85,37.51,43.78,36.9,35.18,27.13,27.27,25.24,22.19,28.56,18.63,17.8,17.9,19.53,20.67,25.71,34.26,35.79,34.22,40.38,36.67,41.66,37.31,43.04
100152_100162,39.0,32.94,33.85,37.15,27.62,17.18,21.56,16.35,18.75,25.28,11.66,12.84,14.75,14.98,14.44,24.09,30.71,23.73,30.78,28.48,32.1,34.06,30.95,41.29
100153_100154,33.26,27.95,24.63,30.22,27.36,18.57,19.51,13.6,10.0,10.0,14.38,14.45,10.0,14.42,18.45,25.62,23.98,24.48,31.69,31.99,25.03,27.8,31.9,35.58
100153_100163,38.04,39.16,33.98,28.63,23.58,30.4,19.13,23.68,13.7,20.65,17.91,12.17,16.81,15.0,13.44,26.19,26.38,28.75,23.33,33.29,39.63,36.6,29.57,39.2
100154_100155,46.07,41.08,31.63,35.1,29.05,28.63,27.36,19.83,18.4,14.17,13.2,15.82,15.89,19.34,19.28,21.75,27.67,31.18,26.48,39.99,37.39,43.07,35.32,48.88
100154_100164,46.67,44.35,43.42,41.45,36.06,34.15,24.68,22.4,18.96,19.03,17.98,19.29,21.97,18.34,27.11,27.4,29.66,37.98,41.3,44.53,45.42,48.81,47.3,48.53
100155_100156,36.24,38.56,32.26,33.1,35.73,25.34,24.22,22.05,15.01,15.06,21.34,10.0,13.72,17.22,18.6,21.87,23.22,28.66,38.76,34.49,36.97,38.71,32.87,42.4
100155_100165,41.53,36.24,32.84,39.95,29.37,24.66,23.99,28.34,21.58,18.43,14.78,11.44,18.44,15.95,16.68,19.98,23.28,29.14,35.52,28.13,35.95,38.14,36.42,39.26
100156_100157,31.16,28.44,24.43,29.4,21.62,22.17,17.6,15.96,10.0,12.51,10.0,10.0,18.05,10.0,10.32,13.62,24.76,22.72,22.39,25.2,32.71,30.87,33.53,30.67
100156_100166,37.89,33.1,33.14,32.92,28.87,22.1,16.86,13.07,15.88,11.72,19.28,10.0,14.77,21.3,16.85,20.76,26.91,24.38,25.62,30.08,29.52,35.44,35.57,36.53
100157_100158,35.15,36.97,28.79,26.59,23.75,21.86,19.57,16.74,13.2,10.0,16.06,11.1,10.0,15.47,21.41,23.07,16.6,28.17,19.43,30.79,37.1,32.92,35.34,35.95
100157_100167,49.64,49.0,45.2,42.82,37.91,35.72,31.9,27.55,22.58,20.26,18.02,17.92,22.36,25.46,27.9,31.19,36.62,40.48,46.01,44.95,47.23,48.93,48.85,50.6
100158_100159,35.64,31.2,31.61,30.72,25.04,29.15,20.51,21.44,20.94,18.03,13.9,12.1,16.4,15.75,17.36,17.56,23.0,26.93,29.65,36.68,31.73,35.68,42.19,32.77
100158_100168,35.51,38.02,35.88,31.93,26.3,22.42,23.26,20.99,18.53,19.33,14.57,15.33,16.45,11.28,21.09,19.76,31.68,25.07,36.58,32.5,40.28,34.78,38.09,37.84
100159_100160,32.0,30.07,36.91,29.8,30.18,21.15,22.97,18.32,19.45,13.7,10.0,13.31,16.44,18.33,19.29,22.7,28.59,33.7,29.22,31.83,28.36,25.67,30.4,34.0
100159_100169,29.93,35.4,35.48,39.08,26.97,27.19,19.35,15.88,19.85,21.94,16.96,16.0,19.8,13.56,20.22,28.71,27.35,33.19,30.87,33.66,39.05,41.0,36.37,35.4
100160_100170,48.72,51.62,46.7,40.95,40.1,34.85,30.92,23.74,21.46,20.63,22.29,18.49,19.29,26.65,24.23,25.24,32.18,38.28,40.31,45.09,44.91,50.73,50.76,50.9
100161_100162,46.03,46.76,41.2,37.35,38.28,35.88,27.79,24.17,19.8,18.58,13.89,19.02,17.37,17.1,23.67,25.13,32.58,34.84,38.67,45.1,41.43,44.78,46.91,48.65
100161_100171,49.32,50.83,45.12,41.2,39.11,32.99,30.32,25.17,26.15,22.66,21.84,19.34,24.68,24.93,26.85,31.79,37.42,37.88,44.93,42.72,47.16,51.98,50.08,51.08
100162_100163,45.14,45.8,45.21,44.74,37.56,34.27,28.56,25.62,21.32,18.53,16.51,21.19,21.54,19.65,24.62,27.89,30.9,34.51,39.85,42.52,44.4,51.15,48.27,45.5
100162_100172,31.85,30.29,36.22,23.24,22.18,16.92,13.62,12.17,22.13,10.0,12.76,10.0,13.3,11.25,14.92,16.23,21.96,25.5,32.2,30.21,26.38,37.38,33.92,34.49
100163_100164,42.43,42.28,40.42,38.03,35.13,27.14,22.12,21.48,16.34,11.24,10.12,17.34,12.86,16.59,21.6,20.01,27.96,29.28,35.87,39.8,41.29,42.94,42.02,45.17
100163_100173,34.83,35.53,42.31,32.91,25.3,31.6,23.51,24.21,19.27,13.11,15.87,18.18,16.27,18.48,19.57,22.33,30.02,29.95,34.69,33.67,34.0,31.84,41.16,48.58
100164_100165,44.35,44.27,41.73,37.26,33.21,31.41,21.97,20.21,21.14,15.63,14.7,13.77,16.06,17.88,20.35,22.28,30.74,30.24,35.24,37.7,44.38,43.58,40.72,47.61
100164_100174,42.09,38.31,37.88,34.67,30.68,25.81,20.62,18.08,16.13,13.04,13.89,12.96,12.75,13.05,17.37,25.59,22.65,33.88,35.09,37.09,38.07,41.95,40.33,44.93
100165_100166,46.02,44.02,39.51,40.21,32.23,29.93,23.37,20.94,20.12,14.83,17.24,10.98,17.49,19.86,23.18,25.79,32.38,34.88,36.99,43.03,39.0,45.12,44.84,45.45
100165_100175,36.86,33.37,29.35,39.17,25.07,30.07,21.99,19.43,24.21,14.99,16.1,11.22,15.03,21.98,21.58,20.78,31.94,35.21,35.01,36.3,42.32,39.54,36.83,38.64
100166_100167,45.25,47.53,43.78,42.87,35.93,33.51,28.8,24.83,21.83,21.78,16.42,16.63,17.56,16.36,23.8,31.48,30.37,36.02,39.66,39.65,47.15,47.16,44.84,45.84
100166_100176,36.4,28.48,22.78,26.86,27.53,17.37,18.8,10.0,15.41,10.35,10.0,16.18,10.74,10.8,12.34,10.13,19.32,26.81,29.37,31.34,25.76,33.46,32.91,31.16
100167_100168,54.88,54.82,53.95,52.56,44.94,44.02,37.47,31.14,30.36,27.34,30.46,23.29,29.39,32.79,32.99,34.47,40.59,47.14,51.43,54.03,49.26,55.79,56.35,57.64
100167_100177,48.28,40.15,43.19,37.23,35.11,32.16,23.36,22.52,17.68,17.95,15.41,16.11,13.12,18.51,23.07,23.62,27.12,30.52,38.91,39.94,42.79,45.71,44.21,45.75
100168_100169,48.22,48.11,40.69,42.54,34.88,32.73,26.9,23.04,16.6,16.39,16.77,18.65,17.74,24.52,22.96,26.15,26.44,33.23,42.9,42.86,43.22,46.19,47.27,51.54
100168_100178,35.55,31.61,37.24,29.46,31.09,24.94,19.8,20.06,12.14,15.19,18.26,16.02,10.0,14.71,21.43,16.91,28.06,27.82,28.93,33.09,35.17,44.38,33.13,37.68
100169_100170,52.26,44.83,50.61,42.75,36.16,35.03,31.09,26.32,20.33,18.68,21.34,20.13,19.28,24.71,24.51,29.2,31.68,39.04,38.2,45.33,44.76,47.18,50.94,51.22
100169_100179,33.36,40.07,25.48,29.87,30.3,25.02,26.08,21.81,17.94,24.03,17.32,15.64,20.38,13.23,20.33,19.87,29.87,22.27,21.1,35.19,34.18,41.48,36.87,45.45
100170_100180,56.07,49.18,46.36,48.11,42.26,35.35,33.72,27.65,23.97,22.77,23.6,20.53,21.65,26.08,27.57,31.75,36.56,40.56,43.45,48.05,48.75,50.96,56.72,49.46
100171_100172,31.22,35.87,30.81,28.41,22.23,21.27,18.95,10.0,11.88,10.0,13.07,16.05,16.26,12.72,15.19,17.64,25.64,24.98,26.98,34.89,33.96,35.29,34.05,36.7
100171_100181,41.46,42.16,39.98,35.82,33.87,25.41,20.81,18.29,16.53,16.9,14.8,16.16,12.38,16.4,18.63,20.58,25.54,30.35,36.58,41.13,36.87,43.85,43.51,42.82
